"","p_d_node","p_state","d_state","change","p_pp","d_pp","dpp>ppp"
"1","1094_1095",0,0,0,0.926,0.91,0
"2","1095_1096",0,0,0,0.91,0.91,0
"3","1096_1",0,0,0,0.91,1,1
"4","1096_1097",0,0,0,0.91,0.908,0
"5","1097_1098",0,0,0,0.908,0.914,1
"6","1098_1099",0,0,0,0.914,0.926,1
"7","1099_1100",0,0,0,0.926,0.862,0
"8","1100_2",0,1,1,0.862,1,1
"9","1100_3",0,0,0,0.862,1,1
"10","1099_1101",0,0,0,0.926,0.952,1
"11","1101_4",0,0,0,0.952,1,1
"12","1101_5",0,0,0,0.952,1,1
"13","1098_1102",0,0,0,0.914,0.894,0
"14","1102_1103",0,0,0,0.894,0.922,1
"15","1103_6",0,0,0,0.922,1,1
"16","1103_7",0,0,0,0.922,1,1
"17","1102_1104",0,0,0,0.894,0.968,1
"18","1104_8",0,0,0,0.968,1,1
"19","1104_9",0,0,0,0.968,1,1
"20","1097_1105",0,0,0,0.908,0.93,1
"21","1105_1106",0,0,0,0.93,0.956,1
"22","1106_10",0,1,1,0.956,1,1
"23","1106_11",0,0,0,0.956,1,1
"24","1105_1107",0,0,0,0.93,0.938,1
"25","1107_12",0,0,0,0.938,1,1
"26","1107_13",0,0,0,0.938,1,1
"27","1095_1108",0,0,0,0.91,0.908,0
"28","1108_14",0,0,0,0.908,1,1
"29","1108_1109",0,0,0,0.908,0.99,1
"30","1109_15",0,0,0,0.99,1,1
"31","1109_16",0,0,0,0.99,1,1
"32","1094_1110",0,0,0,0.926,0.942,1
"33","1110_1111",0,0,0,0.942,0.928,0
"34","1111_1112",0,0,0,0.928,0.928,0
"35","1112_17",0,0,0,0.928,1,1
"36","1112_1113",0,0,0,0.928,0.924,0
"37","1113_1114",0,0,0,0.924,0.93,1
"38","1114_18",0,0,0,0.93,1,1
"39","1114_19",0,0,0,0.93,1,1
"40","1113_20",0,0,0,0.924,1,1
"41","1111_1115",0,0,0,0.928,0.938,1
"42","1115_1116",0,0,0,0.938,0.922,0
"43","1116_1117",0,0,0,0.922,0.93,1
"44","1117_1118",0,0,0,0.93,0.92,0
"45","1118_1119",0,0,0,0.92,0.924,1
"46","1119_21",0,0,0,0.924,1,1
"47","1119_22",0,1,1,0.924,1,1
"48","1118_23",0,0,0,0.92,1,1
"49","1117_1120",0,0,0,0.93,0.94,1
"50","1120_1121",0,0,0,0.94,0.93,0
"51","1121_24",0,0,0,0.93,1,1
"52","1121_1122",0,0,0,0.93,0.934,1
"53","1122_1123",0,0,0,0.934,0.95,1
"54","1123_1124",0,0,0,0.95,0.924,0
"55","1124_25",0,0,0,0.924,1,1
"56","1124_26",0,0,0,0.924,1,1
"57","1123_1125",0,0,0,0.95,0.956,1
"58","1125_1126",0,0,0,0.956,0.952,0
"59","1126_27",0,0,0,0.952,1,1
"60","1126_28",0,0,0,0.952,1,1
"61","1125_1127",0,0,0,0.956,0.942,0
"62","1127_1128",0,0,0,0.942,0.93,0
"63","1128_29",0,0,0,0.93,1,1
"64","1128_30",0,0,0,0.93,1,1
"65","1127_31",0,0,0,0.942,1,1
"66","1122_32",0,0,0,0.934,1,1
"67","1120_1129",0,0,0,0.94,0.938,0
"68","1129_1130",0,0,0,0.938,0.948,1
"69","1130_1131",0,0,0,0.948,0.928,0
"70","1131_33",0,0,0,0.928,1,1
"71","1131_34",0,0,0,0.928,1,1
"72","1130_35",0,0,0,0.948,1,1
"73","1129_1132",0,0,0,0.938,0.944,1
"74","1132_1133",0,0,0,0.944,0.936,0
"75","1133_1134",0,0,0,0.936,0.92,0
"76","1134_36",0,0,0,0.92,1,1
"77","1134_37",0,0,0,0.92,1,1
"78","1133_1135",0,0,0,0.936,0.936,0
"79","1135_1136",0,0,0,0.936,0.868,0
"80","1136_38",0,0,0,0.868,1,1
"81","1136_1137",0,0,0,0.868,0.724,0
"82","1137_39",0,0,0,0.724,1,1
"83","1137_40",0,1,1,0.724,1,1
"84","1135_1138",0,0,0,0.936,0.934,0
"85","1138_1139",0,0,0,0.934,0.97,1
"86","1139_41",0,0,0,0.97,1,1
"87","1139_1140",0,0,0,0.97,0.986,1
"88","1140_42",0,0,0,0.986,1,1
"89","1140_43",0,0,0,0.986,1,1
"90","1138_44",0,0,0,0.934,1,1
"91","1132_45",0,0,0,0.944,1,1
"92","1116_1141",0,0,0,0.922,0.924,1
"93","1141_1142",0,0,0,0.924,0.914,0
"94","1142_1143",0,0,0,0.914,0.94,1
"95","1143_1144",0,0,0,0.94,0.94,0
"96","1144_46",0,0,0,0.94,1,1
"97","1144_1145",0,0,0,0.94,0.944,1
"98","1145_1146",0,0,0,0.944,0.82,0
"99","1146_47",0,0,0,0.82,1,1
"100","1146_1147",0,0,0,0.82,0.702,0
"101","1147_1148",0,0,0,0.702,0.8,1
"102","1148_48",0,0,0,0.8,1,1
"103","1148_49",0,0,0,0.8,1,1
"104","1147_50",0,1,1,0.702,1,1
"105","1145_1149",0,0,0,0.944,0.982,1
"106","1149_51",0,0,0,0.982,1,1
"107","1149_1150",0,0,0,0.982,0.998,1
"108","1150_52",0,0,0,0.998,1,1
"109","1150_53",0,0,0,0.998,1,1
"110","1143_1151",0,0,0,0.94,0.948,1
"111","1151_1152",0,0,0,0.948,0.922,0
"112","1152_1153",0,0,0,0.922,0.918,0
"113","1153_1154",0,0,0,0.918,0.916,0
"114","1154_1155",0,0,0,0.916,0.966,1
"115","1155_54",0,0,0,0.966,1,1
"116","1155_55",0,0,0,0.966,1,1
"117","1154_1156",0,0,0,0.916,0.92,1
"118","1156_1157",0,0,0,0.92,0.912,0
"119","1157_1158",0,0,0,0.912,0.998,1
"120","1158_56",0,0,0,0.998,1,1
"121","1158_57",0,0,0,0.998,1,1
"122","1157_1159",0,0,0,0.912,0.902,0
"123","1159_58",0,1,1,0.902,1,1
"124","1159_59",0,0,0,0.902,1,1
"125","1156_1160",0,0,0,0.92,0.908,0
"126","1160_1161",0,0,0,0.908,0.886,0
"127","1161_1162",0,0,0,0.886,0.638,0
"128","1162_60",0,1,1,0.638,1,1
"129","1162_61",0,1,1,0.638,1,1
"130","1161_1163",0,0,0,0.886,0.866,0
"131","1163_62",0,1,1,0.866,1,1
"132","1163_63",0,1,1,0.866,1,1
"133","1160_1164",0,0,0,0.908,0.94,1
"134","1164_1165",0,0,0,0.94,0.966,1
"135","1165_64",0,0,0,0.966,1,1
"136","1165_65",0,0,0,0.966,1,1
"137","1164_1166",0,0,0,0.94,0.938,0
"138","1166_66",0,0,0,0.938,1,1
"139","1166_67",0,0,0,0.938,1,1
"140","1153_1167",0,0,0,0.918,0.936,1
"141","1167_1168",0,0,0,0.936,0.928,0
"142","1168_68",0,0,0,0.928,1,1
"143","1168_69",0,0,0,0.928,1,1
"144","1167_1169",0,0,0,0.936,0.908,0
"145","1169_1170",0,0,0,0.908,0.912,1
"146","1170_1171",0,0,0,0.912,0.926,1
"147","1171_70",0,0,0,0.926,1,1
